country,cases,deaths,updated_date,hist_had,code,population,cases_per_million
United States,12688,0,2022-08-16,Has not,USA,331893745,38.23
Spain,5719,2,2022-08-16,Has not,ESP,47326687,120.84
Germany,3186,0,2022-08-16,Has not,DEU,83129285,38.33
United Kingdom,3081,0,2022-08-16,Has not,GBR,67326569,45.76
Brazil,2893,1,2022-08-16,Has not,BRA,213993441,13.52
France,2673,0,2022-08-16,Has not,FRA,67499343,39.6
Canada,1076,0,2022-08-16,Has not,CAN,38246108,28.13
Netherlands,1025,0,2022-08-16,Has not,NLD,17533405,58.46
Peru,834,0,2022-08-16,Has not,PER,33359416,25.0
Portugal,770,0,2022-08-16,Has not,PRT,10299423,74.76
Italy,662,0,2022-08-16,Has not,ITA,59066225,11.21
Belgium,546,0,2022-08-16,Has not,BEL,11587882,47.12
Switzerland,399,0,2022-08-16,Has not,CHE,8697723,45.87
Austria,210,0,2022-08-16,Has not,AUT,8956279,23.45
Israel,189,0,2022-08-16,Has not,ISR,9364000,20.18
Democratic Republic of the Congo,163,0,2022-08-16,Has,COD,92377986,1.76
Nigeria,157,4,2022-08-16,Has,NGA,211400704,0.74
Denmark,154,0,2022-08-16,Has not,DNK,5856733,26.29
Mexico,147,0,2022-08-16,Has not,MEX,130262220,1.13
Chile,141,0,2022-08-16,Has not,CHL,19212362,7.34
Sweden,130,0,2022-08-16,Has not,SWE,10415811,12.48
Colombia,129,0,2022-08-16,Has not,COL,51265841,2.52
Ireland,113,0,2022-08-16,Has not,IRL,5028230,22.47
Poland,104,0,2022-08-16,Has not,POL,37781024,2.75
Norway,72,0,2022-08-16,Has not,NOR,5408320,13.31
Australia,70,0,2022-08-16,Has not,AUS,25739256,2.72
Hungary,62,0,2022-08-16,Has not,HUN,9709886,6.39
Greece,49,0,2022-08-16,Has not,GRC,10664568,4.59
Argentina,49,0,2022-08-16,Has not,ARG,45808747,1.07
Ghana,47,1,2022-08-16,Has,GHA,31732128,1.48
Slovenia,43,0,2022-08-16,Has not,SVN,2107007,20.41
Luxembourg,43,0,2022-08-16,Has not,LUX,639070,67.29
Czechia,36,0,2022-08-16,Has not,CZE,10703446,3.36
Romania,32,0,2022-08-16,Has not,ROU,19115146,1.67
Malta,30,0,2022-08-16,Has not,MLT,516869,58.04
Serbia,23,0,2022-08-16,Has not,SRB,6844078,3.36
Finland,22,0,2022-08-16,Has not,FIN,5541696,3.97
Ecuador,17,1,2022-08-16,Has not,ECU,17888474,0.95
Croatia,17,0,2022-08-16,Has not,HRV,3899000,4.36
United Arab Emirates,16,0,2022-08-16,Has not,ARE,9991083,1.6
Singapore,15,0,2022-08-16,Has not,SGP,5453566,2.75
Bolivia,15,0,2022-08-16,Has not,BOL,11832936,1.27
Iceland,12,0,2022-08-16,Has not,ISL,372295,32.23
Slovakia,10,0,2022-08-16,Has not,SVK,5447247,1.84
Estonia,9,0,2022-08-16,Has not,EST,1329254,6.77
India,9,1,2022-08-16,Has not,IND,1393409033,0.01
Central African Republic,8,2,2022-08-16,Has,CAF,4919987,1.63
Cameroon,7,0,2022-08-16,Has,CMR,27224262,0.26
Lebanon,6,0,2022-08-16,Has not,LBN,6769151,0.89
Gibraltar,6,0,2022-08-16,Has not,GIB,33691,178.09
Saudi Arabia,5,0,2022-08-16,Has not,SAU,35340680,0.14
Thailand,5,0,2022-08-16,Has not,THA,69950844,0.07
Lithuania,5,0,2022-08-16,Has not,LTU,2795321,1.79
Dominican Republic,5,0,2022-08-16,Has not,DOM,10953714,0.46
Andorra,4,0,2022-08-16,Has not,AND,77354,51.71
South Africa,4,0,2022-08-16,Has not,ZAF,60041996,0.07
New Zealand,4,0,2022-08-16,Has not,NZL,5122600,0.78
Japan,4,0,2022-08-16,Has not,JPN,125681593,0.03
Latvia,4,0,2022-08-16,Has not,LVA,1883162,2.12
Bulgaria,4,0,2022-08-16,Has not,BGR,6899125,0.58
Jamaica,4,0,2022-08-16,Has not,JAM,2973462,1.35
Guatemala,3,0,2022-08-16,Has not,GTM,17109746,0.18
Bosnia and Herzegovina,3,0,2022-08-16,Has not,BIH,3263459,0.92
Honduras,3,0,2022-08-16,Has not,HND,10062994,0.3
Republic of the Congo,3,0,2022-08-16,Has,COG,5657017,0.53
Costa Rica,3,0,2022-08-16,Has not,CRI,5139053,0.58
Qatar,3,0,2022-08-16,Has not,QAT,2930524,1.02
Benin,3,0,2022-08-16,Has not,BEN,12451031,0.24
Panama,3,0,2022-08-16,Has not,PAN,4381583,0.68
Monaco,3,0,2022-08-16,Has not,MCO,39520,75.91
Cyprus,3,0,2022-08-16,Has not,CYP,1215588,2.47
Liberia,2,0,2022-08-16,Has,LBR,5180208,0.39
Uruguay,2,0,2022-08-16,Has not,URY,3485152,0.57
Greenland,2,0,2022-08-16,Has not,GRL,56653,35.3
Turkey,1,0,2022-08-16,Has not,TUR,85042736,0.01
Bermuda,1,0,2022-08-16,Has not,BMU,63867,15.66
Barbados,1,0,2022-08-16,Has not,BRB,287708,3.48
Bahamas,1,0,2022-08-16,Has not,BHS,396914,2.52
Sudan,1,0,2022-08-16,Has not,SDN,44909351,0.02
Morocco,1,0,2022-08-16,Has not,MAR,37344787,0.03
South Korea,1,0,2022-08-16,Has not,KOR,51744876,0.02
Georgia,1,0,2022-08-16,Has not,GEO,3708610,0.27
Montenegro,1,0,2022-08-16,Has not,MNE,620173,1.61
Saint Martin,1,0,2022-08-16,Has not,MAF,39239,25.48
Russia,1,0,2022-08-16,Has not,RUS,143446060,0.01
Iran,1,0,2022-08-16,Has not,IRN,85028760,0.01
Philippines,1,0,2022-08-16,Has not,PHL,111046910,0.01
Moldova,1,0,2022-08-16,Has not,MDA,2573928,0.39
New Caledonia,1,0,2022-08-16,Has not,NCL,272620,3.67
Venezuela,1,0,2022-08-16,Has not,VEN,28704947,0.03
