state,cases,state_fips,state_ap,state_postal,pop_acs_2020_5tr,cases_per_million,updated_date,updated_time,national_total
Alabama,21,01,Ala.,AL,4893186,4.29,2022-08-08,8:09 PM,8931
Alaska,2,02,Alaska,AK,736990,2.71,2022-08-08,8:09 PM,8931
Arizona,131,04,Ariz.,AZ,7174064,18.26,2022-08-08,8:09 PM,8931
Arkansas,9,05,Ark.,AR,3011873,2.99,2022-08-08,8:09 PM,8931
California,1310,06,Calif.,CA,39346023,33.29,2022-08-08,8:09 PM,8931
Colorado,78,08,Colo.,CO,5684926,13.72,2022-08-08,8:09 PM,8931
Connecticut,48,09,Conn.,CT,3570549,13.44,2022-08-08,8:09 PM,8931
Delaware,6,10,Del.,DE,967679,6.2,2022-08-08,8:09 PM,8931
District of Columbia,303,11,D.C.,DC,701974,431.64,2022-08-08,8:09 PM,8931
Florida,936,12,Fla.,FL,21216924,44.12,2022-08-08,8:09 PM,8931
Georgia,625,13,Ga.,GA,10516579,59.43,2022-08-08,8:09 PM,8931
Hawaii,11,15,Hawaii,HI,1420074,7.75,2022-08-08,8:09 PM,8931
Idaho,7,16,Idaho,ID,1754367,3.99,2022-08-08,8:09 PM,8931
Illinois,672,17,Ill.,IL,12716164,52.85,2022-08-08,8:09 PM,8931
Indiana,77,18,Ind.,IN,6696893,11.5,2022-08-08,8:09 PM,8931
Iowa,13,19,Iowa,IA,3150011,4.13,2022-08-08,8:09 PM,8931
Kansas,2,20,Kan.,KS,2912619,0.69,2022-08-08,8:09 PM,8931
Kentucky,11,21,Ky.,KY,4461952,2.47,2022-08-08,8:09 PM,8931
Louisiana,83,22,La.,LA,4664616,17.79,2022-08-08,8:09 PM,8931
Maine,2,23,Maine,ME,1340825,1.49,2022-08-08,8:09 PM,8931
Maryland,215,24,Md.,MD,6037624,35.61,2022-08-08,8:09 PM,8931
Massachusetts,174,25,Mass.,MA,6873003,25.32,2022-08-08,8:09 PM,8931
Michigan,70,26,Mich.,MI,9973907,7.02,2022-08-08,8:09 PM,8931
Minnesota,52,27,Minn.,MN,5600166,9.29,2022-08-08,8:09 PM,8931
Mississippi,7,28,Miss.,MS,2981835,2.35,2022-08-08,8:09 PM,8931
Missouri,15,29,Mo.,MO,6124160,2.45,2022-08-08,8:09 PM,8931
Montana,1,30,Mont.,MT,1061705,0.94,2022-08-08,8:09 PM,8931
Nebraska,14,31,Neb.,NE,1923826,7.28,2022-08-08,8:09 PM,8931
Nevada,39,32,Nev.,NV,3030281,12.87,2022-08-08,8:09 PM,8931
New Hampshire,15,33,N.H.,NH,1355244,11.07,2022-08-08,8:09 PM,8931
New Jersey,243,34,N.J.,NJ,8885418,27.35,2022-08-08,8:09 PM,8931
New Mexico,13,35,N.M.,NM,2097021,6.2,2022-08-08,8:09 PM,8931
New York,1960,36,N.Y.,NY,19514849,100.44,2022-08-08,8:09 PM,8931
North Carolina,111,37,N.C.,NC,10386227,10.69,2022-08-08,8:09 PM,8931
North Dakota,2,38,N.D.,ND,760394,2.63,2022-08-08,8:09 PM,8931
Ohio,68,39,Ohio,OH,11675275,5.82,2022-08-08,8:09 PM,8931
Oklahoma,11,40,Okla.,OK,3949342,2.79,2022-08-08,8:09 PM,8931
Oregon,80,41,Ore.,OR,4176346,19.16,2022-08-08,8:09 PM,8931
Pennsylvania,234,42,Pa.,PA,12794885,18.29,2022-08-08,8:09 PM,8931
Puerto Rico,32,72,,PR,3255642,9.83,2022-08-08,8:09 PM,8931
Rhode Island,31,44,R.I.,RI,1057798,29.31,2022-08-08,8:09 PM,8931
South Carolina,39,45,S.C.,SC,5091517,7.66,2022-08-08,8:09 PM,8931
South Dakota,1,46,S.D.,SD,879336,1.14,2022-08-08,8:09 PM,8931
Tennessee,52,47,Tenn.,TN,6772268,7.68,2022-08-08,8:09 PM,8931
Texas,702,48,Texas,TX,28635442,24.52,2022-08-08,8:09 PM,8931
Utah,48,49,Utah,UT,3151239,15.23,2022-08-08,8:09 PM,8931
Vermont,1,50,Vt.,VT,624340,1.6,2022-08-08,8:09 PM,8931
Virginia,145,51,Va.,VA,8509358,17.04,2022-08-08,8:09 PM,8931
Washington,183,53,Wash.,WA,7512465,24.36,2022-08-08,8:09 PM,8931
West Virginia,4,54,W.Va.,WV,1807426,2.21,2022-08-08,8:09 PM,8931
Wisconsin,22,55,Wis.,WI,5806975,3.79,2022-08-08,8:09 PM,8931
Wyoming,0,56,Wyo.,WY,581348,0.0,2022-08-08,8:09 PM,8931
