location,cases,asof,state_fips,state_ap,state_postal,state,pop_acs_2020_5tr,cases_per_million,updated_date,updated_time,national_total
Alabama,115,Data as of September 27 2022 at 2:00 pm EDT,01,Ala.,AL,Alabama,4893186,23.5,2022-09-27,8:34 PM,25338
Alaska,5,Data as of September 27 2022 at 2:00 pm EDT,02,Alaska,AK,Alaska,736990,6.78,2022-09-27,8:34 PM,25338
Arizona,466,Data as of September 27 2022 at 2:00 pm EDT,04,Ariz.,AZ,Arizona,7174064,64.96,2022-09-27,8:34 PM,25338
Arkansas,58,Data as of September 27 2022 at 2:00 pm EDT,05,Ark.,AR,Arkansas,3011873,19.26,2022-09-27,8:34 PM,25338
California,4886,Data as of September 27 2022 at 2:00 pm EDT,06,Calif.,CA,California,39346023,124.18,2022-09-27,8:34 PM,25338
Colorado,263,Data as of September 27 2022 at 2:00 pm EDT,08,Colo.,CO,Colorado,5684926,46.26,2022-09-27,8:34 PM,25338
Connecticut,124,Data as of September 27 2022 at 2:00 pm EDT,09,Conn.,CT,Connecticut,3570549,34.73,2022-09-27,8:34 PM,25338
Delaware,36,Data as of September 27 2022 at 2:00 pm EDT,10,Del.,DE,Delaware,967679,37.2,2022-09-27,8:34 PM,25338
District of Columbia,496,Data as of September 27 2022 at 2:00 pm EDT,11,D.C.,DC,District of Columbia,701974,706.58,2022-09-27,8:34 PM,25338
Florida,2501,Data as of September 27 2022 at 2:00 pm EDT,12,Fla.,FL,Florida,21216924,117.88,2022-09-27,8:34 PM,25338
Georgia,1773,Data as of September 27 2022 at 2:00 pm EDT,13,Ga.,GA,Georgia,10516579,168.59,2022-09-27,8:34 PM,25338
Hawaii,29,Data as of September 27 2022 at 2:00 pm EDT,15,Hawaii,HI,Hawaii,1420074,20.42,2022-09-27,8:34 PM,25338
Idaho,12,Data as of September 27 2022 at 2:00 pm EDT,16,Idaho,ID,Idaho,1754367,6.84,2022-09-27,8:34 PM,25338
Illinois,1300,Data as of September 27 2022 at 2:00 pm EDT,17,Ill.,IL,Illinois,12716164,102.23,2022-09-27,8:34 PM,25338
Indiana,228,Data as of September 27 2022 at 2:00 pm EDT,18,Ind.,IN,Indiana,6696893,34.05,2022-09-27,8:34 PM,25338
Iowa,25,Data as of September 27 2022 at 2:00 pm EDT,19,Iowa,IA,Iowa,3150011,7.94,2022-09-27,8:34 PM,25338
Kansas,10,Data as of September 27 2022 at 2:00 pm EDT,20,Kan.,KS,Kansas,2912619,3.43,2022-09-27,8:34 PM,25338
Kentucky,53,Data as of September 27 2022 at 2:00 pm EDT,21,Ky.,KY,Kentucky,4461952,11.88,2022-09-27,8:34 PM,25338
Louisiana,247,Data as of September 27 2022 at 2:00 pm EDT,22,La.,LA,Louisiana,4664616,52.95,2022-09-27,8:34 PM,25338
Maine,9,Data as of September 27 2022 at 2:00 pm EDT,23,Maine,ME,Maine,1340825,6.71,2022-09-27,8:34 PM,25338
Maryland,650,Data as of September 27 2022 at 2:00 pm EDT,24,Md.,MD,Maryland,6037624,107.66,2022-09-27,8:34 PM,25338
Massachusetts,390,Data as of September 27 2022 at 2:00 pm EDT,25,Mass.,MA,Massachusetts,6873003,56.74,2022-09-27,8:34 PM,25338
