location,cases,asof,state_fips,state_ap,state_postal,state,pop_acs_2020_5tr,cases_per_million,updated_date,updated_time,national_total
Alabama,60,Data as of August 30 2022 at 2:00 pm EDT,01,Ala.,AL,Alabama,4893186,12.26,2022-08-30,8:51 PM,18414
Alaska,3,Data as of August 30 2022 at 2:00 pm EDT,02,Alaska,AK,Alaska,736990,4.07,2022-08-30,8:51 PM,18414
Arizona,314,Data as of August 30 2022 at 2:00 pm EDT,04,Ariz.,AZ,Arizona,7174064,43.77,2022-08-30,8:51 PM,18414
Arkansas,32,Data as of August 30 2022 at 2:00 pm EDT,05,Ark.,AR,Arkansas,3011873,10.62,2022-08-30,8:51 PM,18414
California,3291,Data as of August 30 2022 at 2:00 pm EDT,06,Calif.,CA,California,39346023,83.64,2022-08-30,8:51 PM,18414
Colorado,189,Data as of August 30 2022 at 2:00 pm EDT,08,Colo.,CO,Colorado,5684926,33.25,2022-08-30,8:51 PM,18414
Connecticut,90,Data as of August 30 2022 at 2:00 pm EDT,09,Conn.,CT,Connecticut,3570549,25.21,2022-08-30,8:51 PM,18414
Delaware,21,Data as of August 30 2022 at 2:00 pm EDT,10,Del.,DE,Delaware,967679,21.7,2022-08-30,8:51 PM,18414
District of Columbia,432,Data as of August 30 2022 at 2:00 pm EDT,11,D.C.,DC,District of Columbia,701974,615.41,2022-08-30,8:51 PM,18414
Florida,1870,Data as of August 30 2022 at 2:00 pm EDT,12,Fla.,FL,Florida,21216924,88.14,2022-08-30,8:51 PM,18414
Georgia,1387,Data as of August 30 2022 at 2:00 pm EDT,13,Ga.,GA,Georgia,10516579,131.89,2022-08-30,8:51 PM,18414
Hawaii,18,Data as of August 30 2022 at 2:00 pm EDT,15,Hawaii,HI,Hawaii,1420074,12.68,2022-08-30,8:51 PM,18414
Idaho,9,Data as of August 30 2022 at 2:00 pm EDT,16,Idaho,ID,Idaho,1754367,5.13,2022-08-30,8:51 PM,18414
Illinois,1058,Data as of August 30 2022 at 2:00 pm EDT,17,Ill.,IL,Illinois,12716164,83.2,2022-08-30,8:51 PM,18414
