date,cases,cumulative_sum
5/17/2022,1,1
5/18/2022,0,1
5/19/2022,0,1
5/20/2022,1,2
5/21/2022,2,4
5/22/2022,1,5
5/23/2022,3,8
5/24/2022,1,9
5/25/2022,1,10
5/26/2022,1,11
5/27/2022,3,14
5/28/2022,0,14
5/29/2022,1,15
5/30/2022,0,15
5/31/2022,4,19
6/1/2022,1,20
6/2/2022,3,23
6/3/2022,5,28
6/4/2022,1,29
6/5/2022,0,29
6/6/2022,5,34
6/7/2022,4,38
6/8/2022,5,43
6/9/2022,7,50
6/10/2022,5,55
6/11/2022,2,57
6/12/2022,5,62
6/13/2022,3,65
6/14/2022,16,81
6/15/2022,8,89
6/16/2022,16,105
6/17/2022,8,113
6/18/2022,9,122
6/19/2022,4,126
6/20/2022,11,137
6/21/2022,14,151
6/22/2022,19,170
6/23/2022,18,188
6/24/2022,42,230
6/25/2022,12,242
6/26/2022,9,251
6/27/2022,60,311
6/28/2022,40,351
6/29/2022,44,395
6/30/2022,56,451
7/1/2022,55,506
7/2/2022,15,521
7/3/2022,9,530
7/4/2022,25,555
7/5/2022,37,592
7/6/2022,48,640
7/7/2022,54,694
7/8/2022,44,738
7/9/2022,41,779
7/10/2022,10,789
7/11/2022,97,886
7/12/2022,164,1050
7/13/2022,150,1200
7/14/2022,216,1416
7/15/2022,172,1588
7/16/2022,10,1598
7/17/2022,7,1605
7/18/2022,183,1788
7/19/2022,294,2082
7/20/2022,183,2265
7/21/2022,169,2434
7/22/2022,317,2751
7/23/2022,22,2773
7/24/2022,12,2785
7/25/2022,752,3537
7/26/2022,622,4159
7/27/2022,476,4635
7/28/2022,187,4822
7/29/2022,437,5259
7/30/2022,25,5284
7/31/2022,21,5305
8/1/2022,543,5848
8/2/2022,527,6375
8/3/2022,289,6664
8/4/2022,443,7107
8/5/2022,432,7539
8/6/2022,33,7572
8/7/2022,10,7582
8/8/2022,868,8450
8/9/2022,522,8972
8/10/2022,1391,10363
