epi_date,cases,7-day average,cumulative cases,asof,cumulative_sum
5/17/2022,1,0.0,1,Data as of 09/14/2022,1
5/18/2022,0,0.0,1,Data as of 09/14/2022,1
5/19/2022,1,0.0,2,Data as of 09/14/2022,2
5/20/2022,4,0.0,6,Data as of 09/14/2022,6
5/21/2022,0,0.0,6,Data as of 09/14/2022,6
5/22/2022,1,0.0,7,Data as of 09/14/2022,7
5/23/2022,3,1.428571429,10,Data as of 09/14/2022,10
5/24/2022,1,1.428571429,11,Data as of 09/14/2022,11
5/25/2022,2,1.714285714,13,Data as of 09/14/2022,13
5/26/2022,2,1.857142857,15,Data as of 09/14/2022,15
5/27/2022,4,1.857142857,19,Data as of 09/14/2022,19
5/28/2022,0,1.857142857,19,Data as of 09/14/2022,19
5/29/2022,3,2.142857143,22,Data as of 09/14/2022,22
5/30/2022,3,2.142857143,25,Data as of 09/14/2022,25
5/31/2022,6,2.857142857,31,Data as of 09/14/2022,31
6/1/2022,5,3.285714286,36,Data as of 09/14/2022,36
6/2/2022,9,4.285714286,45,Data as of 09/14/2022,45
6/3/2022,6,4.571428571,51,Data as of 09/14/2022,51
6/4/2022,1,4.714285714,52,Data as of 09/14/2022,52
6/5/2022,3,4.714285714,55,Data as of 09/14/2022,55
6/6/2022,12,6.0,67,Data as of 09/14/2022,67
6/7/2022,7,6.142857143,74,Data as of 09/14/2022,74
6/8/2022,8,6.571428571,82,Data as of 09/14/2022,82
6/9/2022,4,5.857142857,86,Data as of 09/14/2022,86
6/10/2022,13,6.857142857,99,Data as of 09/14/2022,99
6/11/2022,12,8.428571429,111,Data as of 09/14/2022,111
6/12/2022,9,9.285714286,120,Data as of 09/14/2022,120
6/13/2022,13,9.428571429,133,Data as of 09/14/2022,133
6/14/2022,19,11.14285714,152,Data as of 09/14/2022,152
6/15/2022,18,12.57142857,170,Data as of 09/14/2022,170
6/16/2022,15,14.14285714,185,Data as of 09/14/2022,185
6/17/2022,20,15.14285714,205,Data as of 09/14/2022,205
6/18/2022,16,15.71428571,221,Data as of 09/14/2022,221
6/19/2022,15,16.57142857,236,Data as of 09/14/2022,236
6/20/2022,13,16.57142857,249,Data as of 09/14/2022,249
6/21/2022,17,16.28571429,266,Data as of 09/14/2022,266
6/22/2022,22,16.85714286,288,Data as of 09/14/2022,288
6/23/2022,34,19.57142857,322,Data as of 09/14/2022,322
6/24/2022,36,21.85714286,358,Data as of 09/14/2022,358
6/25/2022,28,23.57142857,386,Data as of 09/14/2022,386
6/26/2022,19,24.14285714,405,Data as of 09/14/2022,405
6/27/2022,58,30.57142857,463,Data as of 09/14/2022,463
6/28/2022,59,36.57142857,522,Data as of 09/14/2022,522
6/29/2022,62,42.28571429,584,Data as of 09/14/2022,584
6/30/2022,69,47.28571429,653,Data as of 09/14/2022,653
7/1/2022,60,50.71428571,713,Data as of 09/14/2022,713
7/2/2022,46,53.28571429,759,Data as of 09/14/2022,759
7/3/2022,47,57.28571429,806,Data as of 09/14/2022,806
7/4/2022,43,55.14285714,849,Data as of 09/14/2022,849
7/5/2022,90,59.57142857,939,Data as of 09/14/2022,939
7/6/2022,84,62.71428571,1023,Data as of 09/14/2022,1023
7/7/2022,83,64.71428571,1106,Data as of 09/14/2022,1106
7/8/2022,122,73.57142857,1228,Data as of 09/14/2022,1228
7/9/2022,70,77.0,1298,Data as of 09/14/2022,1298
7/10/2022,55,78.14285714,1353,Data as of 09/14/2022,1353
7/11/2022,186,98.57142857,1539,Data as of 09/14/2022,1539
7/12/2022,180,111.4285714,1719,Data as of 09/14/2022,1719
7/13/2022,182,125.4285714,1901,Data as of 09/14/2022,1901
7/14/2022,201,142.2857143,2102,Data as of 09/14/2022,2102
7/15/2022,233,158.1428571,2335,Data as of 09/14/2022,2335
7/16/2022,126,166.1428571,2461,Data as of 09/14/2022,2461
7/17/2022,69,168.1428571,2530,Data as of 09/14/2022,2530
7/18/2022,286,182.4285714,2816,Data as of 09/14/2022,2816
7/19/2022,265,194.5714286,3081,Data as of 09/14/2022,3081
7/20/2022,288,209.7142857,3369,Data as of 09/14/2022,3369
7/21/2022,241,215.4285714,3610,Data as of 09/14/2022,3610
7/22/2022,346,231.5714286,3956,Data as of 09/14/2022,3956
7/23/2022,167,237.4285714,4123,Data as of 09/14/2022,4123
