date,cases,cumulative_sum
2022-08-18,457.0,13514.0
2022-08-17,347.0,13057.0
2022-08-17,3125.0,13514.0
2022-08-16,361.0,12710.0
2022-08-16,0.0,10389.0
2022-08-15,0.0,10389.0
2022-08-15,670.0,12349.0
2022-08-14,10.0,11679.0
2022-08-14,0.0,10389.0
2022-08-13,39.0,11669.0
2022-08-13,0.0,10389.0
2022-08-12,280.0,11630.0
2022-08-12,0.0,10389.0
2022-08-11,314.0,11350.0
2022-08-11,900.0,10389.0
2022-08-10,366.0,11036.0
2022-08-09,409.0,10670.0
2022-08-09,558.0,9489.0
2022-08-08,1424.0,8931.0
2022-08-08,754.0,10261.0
2022-08-07,0.0,7507.0
2022-08-07,78.0,9507.0
2022-08-06,408.0,7507.0
2022-08-06,138.0,9429.0
2022-08-05,483.0,7099.0
2022-08-05,424.0,9291.0
2022-08-04,436.0,8867.0
2022-08-03,426.0,8431.0
2022-08-03,229.0,6616.0
2022-08-02,516.0,6387.0
2022-08-02,438.0,8005.0
2022-08-01,562.0,5871.0
2022-08-01,473.0,7567.0
2022-07-31,14.0,5309.0
2022-07-31,149.0,7094.0
2022-07-30,16.0,5295.0
2022-07-30,160.0,6945.0
2022-07-29,435.0,5279.0
2022-07-29,400.0,6785.0
2022-07-28,299.0,6385.0
2022-07-28,184.0,4844.0
2022-07-27,476.0,4660.0
2022-07-27,460.0,6086.0
2022-07-26,378.0,5626.0
2022-07-26,586.0,4184.0
2022-07-25,812.0,3598.0
2022-07-25,407.0,5248.0
2022-07-24,110.0,4841.0
2022-07-24,6.0,2786.0
2022-07-23,13.0,2780.0
2022-07-23,150.0,4731.0
2022-07-22,319.0,4581.0
2022-07-22,322.0,2767.0
2022-07-21,245.0,4262.0
2022-07-21,183.0,2445.0
2022-07-20,281.0,4017.0
2022-07-20,255.0,2262.0
2022-07-19,292.0,2007.0
2022-07-19,245.0,3736.0
2022-07-18,379.0,3491.0
2022-07-18,168.0,1715.0
2022-07-17,113.0,3112.0
2022-07-17,1.0,1547.0
2022-07-16,133.0,2999.0
2022-07-16,7.0,1546.0
2022-07-15,239.0,2866.0
2022-07-15,152.0,1539.0
2022-07-14,231.0,2627.0
2022-07-14,209.0,1387.0
2022-07-13,212.0,2396.0
2022-07-13,141.0,1178.0
2022-07-12,169.0,2184.0
2022-07-12,157.0,1037.0
2022-07-11,233.0,2015.0
2022-07-11,95.0,880.0
2022-07-10,85.0,1782.0
2022-07-10,7.0,785.0
