epi_date_v3,cases,7-day average,cumulative cases,asof,cumulative_sum
5/10/2022,1,0.0,1,Data as Reported to CDC as of 26 Apr 2023 2:00 PM EDT,1
5/11/2022,5,0.0,6,Data as Reported to CDC as of 26 Apr 2023 2:00 PM EDT,6
5/12/2022,0,0.0,6,Data as Reported to CDC as of 26 Apr 2023 2:00 PM EDT,6
5/13/2022,0,0.0,6,Data as Reported to CDC as of 26 Apr 2023 2:00 PM EDT,6
5/14/2022,0,0.0,6,Data as Reported to CDC as of 26 Apr 2023 2:00 PM EDT,6
5/15/2022,2,0.0,8,Data as Reported to CDC as of 26 Apr 2023 2:00 PM EDT,8
5/16/2022,7,2.142857075,15,Data as Reported to CDC as of 26 Apr 2023 2:00 PM EDT,15
5/17/2022,3,2.428571463,18,Data as Reported to CDC as of 26 Apr 2023 2:00 PM EDT,18
5/18/2022,2,2.0,20,Data as Reported to CDC as of 26 Apr 2023 2:00 PM EDT,20
5/19/2022,3,2.428571463,23,Data as Reported to CDC as of 26 Apr 2023 2:00 PM EDT,23
5/20/2022,0,2.428571463,23,Data as Reported to CDC as of 26 Apr 2023 2:00 PM EDT,23
5/21/2022,1,2.571428537,24,Data as Reported to CDC as of 26 Apr 2023 2:00 PM EDT,24
5/22/2022,1,2.428571463,25,Data as Reported to CDC as of 26 Apr 2023 2:00 PM EDT,25
5/23/2022,3,1.857142806,28,Data as Reported to CDC as of 26 Apr 2023 2:00 PM EDT,28
5/24/2022,4,2.0,32,Data as Reported to CDC as of 26 Apr 2023 2:00 PM EDT,32
5/25/2022,2,2.0,34,Data as Reported to CDC as of 26 Apr 2023 2:00 PM EDT,34
5/26/2022,2,1.857142806,36,Data as Reported to CDC as of 26 Apr 2023 2:00 PM EDT,36
5/27/2022,4,2.428571463,40,Data as Reported to CDC as of 26 Apr 2023 2:00 PM EDT,40
5/28/2022,0,2.285714388,40,Data as Reported to CDC as of 26 Apr 2023 2:00 PM EDT,40
5/29/2022,6,3.0,46,Data as Reported to CDC as of 26 Apr 2023 2:00 PM EDT,46
5/30/2022,8,3.714285612,54,Data as Reported to CDC as of 26 Apr 2023 2:00 PM EDT,54
5/31/2022,5,3.857142925,59,Data as Reported to CDC as of 26 Apr 2023 2:00 PM EDT,59
6/1/2022,9,4.857142925,68,Data as Reported to CDC as of 26 Apr 2023 2:00 PM EDT,68
6/2/2022,13,6.428571224,81,Data as Reported to CDC as of 26 Apr 2023 2:00 PM EDT,81
6/3/2022,7,6.857142925,88,Data as Reported to CDC as of 26 Apr 2023 2:00 PM EDT,88
6/4/2022,5,7.571428776,93,Data as Reported to CDC as of 26 Apr 2023 2:00 PM EDT,93
6/5/2022,6,7.571428776,99,Data as Reported to CDC as of 26 Apr 2023 2:00 PM EDT,99
6/6/2022,20,9.285714149,119,Data as Reported to CDC as of 26 Apr 2023 2:00 PM EDT,119
6/7/2022,19,11.28571415,138,Data as Reported to CDC as of 26 Apr 2023 2:00 PM EDT,138
6/8/2022,12,11.71428585,150,Data as Reported to CDC as of 26 Apr 2023 2:00 PM EDT,150
6/9/2022,6,10.71428585,156,Data as Reported to CDC as of 26 Apr 2023 2:00 PM EDT,156
6/10/2022,24,13.14285755,180,Data as Reported to CDC as of 26 Apr 2023 2:00 PM EDT,180
6/11/2022,11,14.0,191,Data as Reported to CDC as of 26 Apr 2023 2:00 PM EDT,191
6/12/2022,27,17.0,218,Data as Reported to CDC as of 26 Apr 2023 2:00 PM EDT,218
6/13/2022,25,17.7142849,243,Data as Reported to CDC as of 26 Apr 2023 2:00 PM EDT,243
6/14/2022,26,18.7142849,269,Data as Reported to CDC as of 26 Apr 2023 2:00 PM EDT,269
6/15/2022,33,21.7142849,302,Data as Reported to CDC as of 26 Apr 2023 2:00 PM EDT,302
6/16/2022,26,24.5714283,328,Data as Reported to CDC as of 26 Apr 2023 2:00 PM EDT,328
6/17/2022,33,25.8571434,361,Data as Reported to CDC as of 26 Apr 2023 2:00 PM EDT,361
6/18/2022,27,28.1428566,388,Data as Reported to CDC as of 26 Apr 2023 2:00 PM EDT,388
6/19/2022,36,29.4285717,424,Data as Reported to CDC as of 26 Apr 2023 2:00 PM EDT,424
6/20/2022,41,31.7142849,465,Data as Reported to CDC as of 26 Apr 2023 2:00 PM EDT,465
6/21/2022,43,34.1428566,508,Data as Reported to CDC as of 26 Apr 2023 2:00 PM EDT,508
6/22/2022,62,38.2857132,570,Data as Reported to CDC as of 26 Apr 2023 2:00 PM EDT,570
6/23/2022,57,42.7142868,627,Data as Reported to CDC as of 26 Apr 2023 2:00 PM EDT,627
6/24/2022,50,45.1428566,677,Data as Reported to CDC as of 26 Apr 2023 2:00 PM EDT,677
6/25/2022,55,49.1428566,732,Data as Reported to CDC as of 26 Apr 2023 2:00 PM EDT,732
6/26/2022,66,53.42856979,798,Data as Reported to CDC as of 26 Apr 2023 2:00 PM EDT,798
6/27/2022,95,61.1428566,893,Data as Reported to CDC as of 26 Apr 2023 2:00 PM EDT,893
6/28/2022,90,67.85713959,983,Data as Reported to CDC as of 26 Apr 2023 2:00 PM EDT,983
6/29/2022,78,70.14286041,1061,Data as Reported to CDC as of 26 Apr 2023 2:00 PM EDT,1061
6/30/2022,115,78.42857361,1176,Data as Reported to CDC as of 26 Apr 2023 2:00 PM EDT,1176
7/1/2022,138,91.0,1314,Data as Reported to CDC as of 26 Apr 2023 2:00 PM EDT,1314
7/2/2022,127,101.2857132,1441,Data as Reported to CDC as of 26 Apr 2023 2:00 PM EDT,1441
7/3/2022,132,110.7142868,1573,Data as Reported to CDC as of 26 Apr 2023 2:00 PM EDT,1573
7/4/2022,163,120.4285736,1736,Data as Reported to CDC as of 26 Apr 2023 2:00 PM EDT,1736
7/5/2022,184,133.8571472,1920,Data as Reported to CDC as of 26 Apr 2023 2:00 PM EDT,1920
7/6/2022,179,148.2857208,2099,Data as Reported to CDC as of 26 Apr 2023 2:00 PM EDT,2099
7/7/2022,183,158.0,2282,Data as Reported to CDC as of 26 Apr 2023 2:00 PM EDT,2282
7/8/2022,245,173.2857208,2527,Data as Reported to CDC as of 26 Apr 2023 2:00 PM EDT,2527
